BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LATITUDE,LONGITUDE,GROUPED CATEGORY
1,MANHATTAN,EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS,2A,465,45,,C3,"46 STUYVESANT STREET, 1",,10003.0,4.0,0.0,4.0,794.0,3244.0,1900.0,2,C3,1800000,2022-07-27,40.729864299999996,-73.98752979999998,Apartment
1,MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1721,27,,A5,20 WEST 123 STREET,,10027.0,1.0,0.0,1.0,1640.0,3200.0,1899.0,1,A5,2257500,2022-07-28,,,Single-family home
1,MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1770,75,,A9,2 SYLVAN COURT,,10035.0,1.0,0.0,1.0,682.0,1512.0,1899.0,1,A9,1700000,2022-05-02,40.8016544,-73.9386205,Single-family home
1,MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2024,129,,A9,2362 ADAM C POWELL BLVD,,10030.0,1.0,0.0,1.0,1243.0,4112.0,1901.0,1,A9,2295000,2022-06-21,40.81750770000001,-73.94253770000002,Single-family home
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1750,59,,B1,32 EAST 126 STREET,,10035.0,2.0,0.0,2.0,1799.0,2700.0,1909.0,1,B1,1955000,2022-07-20,,,Duplex
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1914,115,,B1,141 WEST 129 STREET,,10027.0,2.0,0.0,2.0,1665.0,3068.0,2001.0,1,B1,2000000,2022-06-13,,,Duplex
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1937,123,,B3,213 WEST 131ST STREET,,10027.0,2.0,0.0,2.0,1665.0,3460.0,1914.0,1,B3,2200000,2023-03-07,40.813286299999994,-73.9463263,Duplex
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1941,40,,B9,208 WEST 136 STREET,,10030.0,2.0,0.0,2.0,1665.0,3332.0,1899.0,1,B9,750000,2023-02-01,,,Duplex
1,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,1,1724,61,,C0,58 WEST 127TH STREET,,10027.0,3.0,0.0,3.0,1874.0,2418.0,1909.0,1,C0,2250000,2022-08-01,40.8084734,-73.943525,Multi-family home
1,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,1,1724,112,,C0,57 WEST 126TH STREET,,10027.0,3.0,0.0,3.0,1741.0,2406.0,1909.0,1,C0,1975000,2022-06-28,40.80814960000001,-73.9438235,Multi-family home
