BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,MANHATTAN,CHELSEA,22 STORE BUILDINGS,4,776,68,,K2,254 WEST 27TH STREET,,10001.0,0.0,2.0,2.0,700.0,2084.0,1930.0,4,K2,2165000,2022-09-30
1,MANHATTAN,EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS,2A,465,45,,C3,"46 STUYVESANT STREET, 1",,10003.0,4.0,0.0,4.0,794.0,3244.0,1900.0,2,C3,1800000,2022-07-27
1,MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1721,27,,A5,20 WEST 123 STREET,,10027.0,1.0,0.0,1.0,1640.0,3200.0,1899.0,1,A5,2257500,2022-07-28
1,MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,1770,75,,A9,2 SYLVAN COURT,,10035.0,1.0,0.0,1.0,682.0,1512.0,1899.0,1,A9,1700000,2022-05-02
1,MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,1,2024,129,,A9,2362 ADAM C POWELL BLVD,,10030.0,1.0,0.0,1.0,1243.0,4112.0,1901.0,1,A9,2295000,2022-06-21
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1717,46,,B1,20 WEST 119 STREET,,10026.0,2.0,0.0,2.0,1514.0,2876.0,1920.0,1,B1,2400000,2022-12-21
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1750,59,,B1,32 EAST 126 STREET,,10035.0,2.0,0.0,2.0,1799.0,2700.0,1909.0,1,B1,1955000,2022-07-20
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1914,115,,B1,141 WEST 129 STREET,,10027.0,2.0,0.0,2.0,1665.0,3068.0,2001.0,1,B1,2000000,2022-06-13
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1937,123,,B3,213 WEST 131ST STREET,,10027.0,2.0,0.0,2.0,1665.0,3460.0,1914.0,1,B3,2200000,2023-03-07
1,MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,1,1941,40,,B9,208 WEST 136 STREET,,10030.0,2.0,0.0,2.0,1665.0,3332.0,1899.0,1,B9,750000,2023-02-01
1,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,1,1724,61,,C0,58 WEST 127TH STREET,,10027.0,3.0,0.0,3.0,1874.0,2418.0,1909.0,1,C0,2250000,2022-08-01
1,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,1,1724,112,,C0,57 WEST 126TH STREET,,10027.0,3.0,0.0,3.0,1741.0,2406.0,1909.0,1,C0,1975000,2022-06-28
1,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,1,1727,60,,C0,46 130TH STREET,,10037.0,3.0,0.0,3.0,2498.0,3300.0,1910.0,1,C0,1019360,2022-05-23
1,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,1,1754,155,,C0,2048 MADISON AVENUE,,10035.0,3.0,0.0,3.0,1225.0,2250.0,1900.0,1,C0,2400000,2022-09-07
